"Lego Part","Lego Set"
"Tile - Transparent - Plastic - Functional","Architecture"
"Axle - Green - Plastic - Roofing","Harry Potter"
"Tool - Tan - Plastic - Accessory","Education"
"Door - Red - Fabric - Character","Star Wars"
"Fence - Bronze - Plastic - Decorative","LEGO Jurassic World"
"Window - Brown - Plastic - Functional","LEGO Monkie Kid"
"Door - Translucent - Plastic - Landscape","LEGO Minions"
"Wheel - Gray - Fabric - Basic","LEGO Creator Expert Roller Coaster"
"Wheel - Bronze - Plastic - Wall","LEGO Speed Racer"
"Animal - Gray - Plastic - Vehicle","Harry Potter"
"Fence - White - Plastic - Roofing","LEGO Speed Champions"
"Door - Tan - Fabric - Building","Education"
"Tile - Yellow - Plastic - Decorative","LEGO Mindstorms"
"Door - Blue - Plastic - Building","LEGO Ideas 21318 Tree House"
"Brick - Brown - Fabric - Building","City"
"Vehicle - Transparent - Fabric - Barrier","Disney"
"Door - Red - Plastic - Functional","LEGO Pirates"
"Slope - Gold - Plastic - Landscape","Jurassic World"
"Axle - White - Fabric - Mechanical","Classic"
"Tile - Blue - Fabric - Entry","Harry Potter"
"Brick - Black - Plastic - Creature","LEGO Marvel Super Heroes"
"Plant - Orange - Plastic - Wall","LEGO Super Mario"
"Axle - Silver - Plastic - Decoration","Ideas"
"Tile - Silver - Plastic - Functional","LEGO Minions"
"Plant - Bronze - Plastic - Building","LEGO Architecture"
"Technic - Transparent - Fabric - Roofing","Technic"
"Plate - Orange - Fabric - Functional","LEGO Star Wars Millennium Falcon"
"Axle - Black - Fabric - Barrier","Harry Potter"
"Tool - Orange - Fabric - Landscape","LEGO Marvel Super Heroes"
"Wheel - Tan - Fabric - Structural","Pirates"
"Plant - Silver - Plastic - Wall","Bionicle"
"Vehicle - Blue - Plastic - Combat","City"
"Plant - Silver - Plastic - Roofing","Education"
"Plate - Yellow - Plastic - Decorative","LEGO Creator Expert"
"Axle - Orange - Plastic - Entry","Speed Champions"
"Slope - Red - Fabric - Character","Ninjago"
"Fence - Orange - Fabric - Building","Star Wars"
"Technic - Gray - Fabric - Building","Dots"
"Vehicle - Orange - Plastic - Decorative","LEGO Star Wars"
"Tile - Blue - Plastic - Roofing","LEGO Ideas"
"Animal - Gray - Fabric - Barrier","Space"
"Vehicle - Orange - Fabric - Structural","Architecture"
"Brick - Yellow - Fabric - Decorative","LEGO DC Super Heroes"
"Minifigure - Transparent - Plastic - Combat","Friends"
"Tool - White - Fabric - Accessory","LEGO Speed Champions"
"Brick - Green - Fabric - Functional","LEGO Marvel Super Heroes"
"Fence - Gray - Fabric - Combat","LEGO Technic"
"Panel - Blue - Plastic - Mechanical","LEGO Mindstorms"
"Flag - Bronze - Fabric - Functional","LEGO Architecture"
"Panel - Silver - Plastic - Structural","LEGO Video Games"
"Slope - Silver - Fabric - Basic","LEGO Creator Expert"
"Plant - Silver - Plastic - Structural","LEGO Space"
"Tile - Silver - Fabric - Functional","LEGO Speed Racer"
"Beam - Brown - Fabric - Decorative","LEGO Video Games"
"Panel - Gold - Plastic - Character","LEGO Architecture"
"Animal - Red - Fabric - Wall","LEGO Ideas"
"Plant - Orange - Plastic - Combat","LEGO Ninjago"
"Flag - Black - Plastic - Basic","Pirates"
"Beam - Gray - Fabric - Transportation","Marvel Super Heroes"
"Animal - Bronze - Fabric - Building","LEGO Architecture"
"Fence - Black - Fabric - Wall","LEGO Pirates"
"Panel - Brown - Plastic - Decorative","Space"
"Door - Blue - Plastic - Character","Ideas"
"Technic - Red - Plastic - Vehicle","LEGO Friends: The Television Series"
"Slope - Blue - Plastic - Basic","Minecraft"
"Beam - Green - Plastic - Combat","LEGO Harry Potter"
"Technic - Transparent - Fabric - Creature","LEGO Disney"
"Beam - Bronze - Plastic - Entry","LEGO Creator 3-in-1"
"Tile - Translucent - Plastic - Accessory","LEGO Friends"
"Tool - Red - Plastic - Roofing","Ideas"
"Tool - White - Fabric - Creature","LEGO Education"
"Plate - Transparent - Fabric - Creature","Friends"
"Flag - Bronze - Plastic - Decoration","Space"
"Plate - White - Fabric - Roofing","Space"
"Slope - Yellow - Fabric - Building","LEGO City"
"Flag - Green - Plastic - Accessory","DC Super Heroes"
"Weapon - Gold - Plastic - Utility","Architecture"
"Animal - Gray - Fabric - Character","LEGO Mindstorms"
"Roof Tile - Orange - Plastic - Entry","LEGO Technic Bugatti Chiron"
"Plant - Orange - Plastic - Vehicle","Disney"
"Window - Gray - Fabric - Combat","LEGO Ideas 21318 Tree House"
"Plate - Gold - Plastic - Vehicle","LEGO Architecture"
"Plant - Blue - Fabric - Entry","Friends"
"Fence - Black - Plastic - Decoration","LEGO Ideas"
"Plate - Transparent - Plastic - Utility","LEGO Marvel Super Heroes"
"Door - Black - Fabric - Decoration","LEGO Elves"
"Wheel - Green - Plastic - Decoration","LEGO Mindstorms"
"Door - Red - Fabric - Structural","LEGO Education"
"Door - Tan - Plastic - Character","LEGO Hidden Side"
